Date,Y,ft1,ft2,ft3,ft4,ft5,ft6,ft7,ft8,ft9,ft10,ft11,ft12,ft13,ft14,ft15
1962-01-02,1.012674,269568.0,0.000114449,0.003278448,0.007195517,7.39e-05,0.025574166,0.000114449,0.003278448,0.007195517,7.39e-05,0.025574166,-0.019325672,0.011464636,0.017506071,0.00416911
1962-01-03,1.002512,184704.0,-0.314814815,-0.000724061,0.106291079,-0.001469516,0.005787208,-0.019351625,0.005787208,0.010537991,0.011243976,0.035655827,-0.011765743,0.006078141,-0.013870581,0.015798822
1962-01-04,0.990659,229632.0,0.243243243,-0.000451511,-0.074956774,0.004405057,-0.000729195,0.007136086,0.04572153,0.013389128,0.034862915,0.035790636,-0.003332517,0.010682821,-0.007936146,-0.050599105
1962-01-05,0.965257,340704.0,0.483695652,0.001170946,-0.210113586,-0.001681218,0.005108226,-0.013168479,0.00966889,0.012798965,0.012165128,0.028312707,0.037584434,-0.024953388,0.009177113,0.027052184
1962-01-08,0.963565,386880.0,0.135531136,0.000991178,-0.495967649,-0.000649707,7.29e-05,-0.102989915,0.002318437,0.014786056,0.012122279,0.021239813,0.003021318,-0.008617799,-0.009641887,0.002042313
1962-01-09,0.968645,290784.0,-0.248387097,-0.000928676,-0.087970563,0.002652622,-0.006016311,0.000134274,0.00270489,0.001820305,0.001689761,0.022065454,0.007432894,0.001431717,-0.02493153,0.001756368
1962-01-10,0.973725,244608.0,-0.158798283,0.000889799,0.235406214,0.004556414,-0.007371682,0.001994585,0.024311965,0.031709612,0.018340659,0.020775652,0.011272502,0.014848204,0.033014754,-0.020941306
1962-01-11,0.975418,203424.0,-0.168367347,-0.001328952,0.010718418,-0.005338868,0.004203577,0.008578155,0.011477298,0.011726676,0.041349709,0.035254079,-0.014877136,-0.005008151,-0.001809703,-0.021283022
1962-01-12,0.961871,210912.0,0.036809816,-0.000921423,-0.575507728,0.00161176,0.005465882,0.003653267,0.01832251,0.002400369,0.000382521,0.047515745,-0.019256628,0.025346944,-0.025747054,0.000307783
1962-01-15,0.972032,264576.0,0.25443787,0.000186596,0.13187876,-0.002801653,-0.001408759,-0.034517774,0.005988818,0.003049921,0.019670378,0.036281309,-0.007988064,0.013211833,0.016822778,0.003820561
1962-01-16,0.980499,173472.0,-0.344339623,-0.001144772,-0.092810245,-0.002939576,0.007157511,0.05379925,0.006304812,0.022409684,0.002859834,0.009855703,-0.03498978,-0.004831552,0.016916606,0.002282325
1962-01-17,0.958484,267072.0,0.539568345,-0.000485196,0.156913508,-0.003621547,-0.003262616,0.005059515,0.006214442,0.034733848,0.011239456,-0.006985778,-0.018517978,-0.001492726,-0.004259874,-0.026033441
1962-01-18,0.968645,184704.0,-0.308411215,0.000276831,-0.163791769,0.007332619,0.003490328,-0.0342473,0.029282684,0.001553659,0.006556674,-0.01342872,-0.008303465,0.032771216,0.047361489,0.004258797
1962-01-19,0.977111,165984.0,-0.101351351,0.000271712,-0.483787715,0.002044711,0.00114203,0.018365521,0.002547085,0.013644075,0.011587813,-0.016091163,-0.018688802,0.016878497,-0.008972062,-0.008573562
1962-01-22,0.980499,177216.0,0.067669173,0.000936971,-0.506037819,-0.002809582,0.002805912,-0.031770898,0.051621183,0.033743086,0.018923105,0.017297592,-0.005547532,0.017319654,-0.022923218,0.007736576
1962-01-23,0.961871,284544.0,0.605633803,-0.00164938,-0.571903229,0.006560166,-0.000163151,-0.016661043,0.002927815,0.010484639,0.001205939,-0.001526074,-0.034640885,0.013665139,-0.008500651,-0.026088545
1962-01-24,0.980499,199680.0,-0.298245614,-0.001332004,-0.038059303,-0.00167033,0.003960652,0.02423979,0.008477396,0.015041021,0.030449143,0.000720862,0.037676964,-0.019467772,-0.014065286,-0.03412306
1962-01-25,0.970338,198432.0,-0.00625,9.97e-05,0.191171587,-0.007679219,-0.000373363,0.007078378,0.002781019,0.000528181,0.02423109,-0.001706937,0.004965269,-0.00077293,0.018804555,-0.02837295
1962-01-26,0.966951,126048.0,-0.364779874,-0.000382204,-0.486519456,-0.000658666,0.00065241,0.000948897,0.002619611,0.001599105,0.05664263,0.00012916,0.011803815,-0.023344056,0.005981449,0.005167747
1962-01-29,0.968645,127296.0,0.00990099,0.001566653,-0.006065263,0.01313039,-0.00140879,0.198748722,0.021507767,0.004788096,0.032695737,-0.002764594,-0.022369355,-0.018208656,-0.047588901,0.001037924
1962-01-30,0.985579,222144.0,0.745098039,-0.00023489,0.157606464,-0.000671909,0.003339824,-0.002418742,0.004904591,0.017074787,0.00480209,0.002994535,0.000559992,0.007558959,-0.014991756,-0.015243984
1962-01-31,1.01606,234624.0,0.056179775,-0.000182515,-0.446927556,0.005719027,0.002175661,0.009352103,0.017870204,0.031917398,0.00047044,-0.014882707,0.006713743,0.005469838,-0.003868805,0.010287257
1962-02-01,1.009287,320736.0,0.367021277,-0.002693044,0.097548621,-0.000424305,-0.004054826,-0.02100222,0.006071708,0.09229328,0.010908013,-0.015833533,0.011571883,-0.00786275,0.014179714,-0.018364057
