Date,Y,ft1,ft11
1962-01-02,1.012674,269568.0,0.025574166
1962-01-03,1.002512,184704.0,0.035655827
1962-01-04,0.990659,229632.0,0.035790636
1962-01-05,0.965257,340704.0,0.028312707
1962-01-08,0.963565,386880.0,0.021239813
1962-01-09,0.968645,290784.0,0.022065454
1962-01-10,0.973725,244608.0,0.020775652
1962-01-11,0.975418,203424.0,0.035254079
1962-01-12,0.961871,210912.0,0.047515745
1962-01-15,0.972032,264576.0,0.036281309
1962-01-16,0.980499,173472.0,0.009855703
1962-01-17,0.958484,267072.0,-0.006985778
1962-01-18,0.968645,184704.0,-0.01342872
1962-01-19,0.977111,165984.0,-0.016091163
1962-01-22,0.980499,177216.0,0.017297592
1962-01-23,0.961871,284544.0,-0.001526074
1962-01-24,0.980499,199680.0,0.000720862
1962-01-25,0.970338,198432.0,-0.001706937
1962-01-26,0.966951,126048.0,0.00012916
1962-01-29,0.968645,127296.0,-0.002764594
1962-01-30,0.985579,222144.0,0.002994535
1962-01-31,1.01606,234624.0,-0.014882707
1962-02-01,1.009287,320736.0,-0.015833533
1962-02-02,1.014367,184704.0,0.006216122
1962-02-05,0.995739,175968.0,0.018512941
1962-02-06,1.005899,129792.0,0.033283015
1962-02-07,1.01606,210912.0,0.045056566
1962-02-08,1.022833,219648.0,0.043144372
1962-02-09,1.017754,188448.0,0.056073473
1962-02-12,1.017754,102336.0,0.057215537
1962-02-13,1.029608,151008.0,0.063952459
1962-02-14,1.038075,202176.0,0.084156783
1962-02-15,1.053316,233376.0,0.080408664
1962-02-16,1.046543,292032.0,0.092678663
1962-02-19,1.038075,194688.0,0.088789988
1962-02-20,1.036382,133536.0,0.085138135
1962-02-21,1.032995,134784.0,0.086662007
1962-02-23,1.022833,203424.0,0.097323833
1962-02-26,1.009287,157248.0,0.092529426
1962-02-27,1.01606,116064.0,0.109612486
1962-02-28,1.01098,207168.0,0.113280164
1962-03-01,1.029608,113568.0,0.15385226
1962-03-02,1.036382,157248.0,0.139019414
1962-03-05,1.038075,173472.0,0.114082898
1962-03-06,1.022833,117312.0,0.133135376
1962-03-07,1.029608,126048.0,0.136809839
1962-03-08,1.044848,220896.0,0.125865445
1962-03-09,1.06009,247104.0,0.10269837
1962-03-12,1.061784,263328.0,0.096253523
1962-03-13,1.063488,160992.0,0.068919376
1962-03-14,1.058374,136032.0,0.074042006
1962-03-15,1.061784,235872.0,0.075008208
1962-03-16,1.068601,129792.0,0.108040548
1962-03-19,1.05667,138528.0,0.135572384
1962-03-20,1.05667,106080.0,0.106268693
1962-03-21,1.054966,200928.0,0.110471341
1962-03-22,1.049853,127296.0,0.128747182
1962-03-23,1.063488,159744.0,0.120216273
1962-03-26,1.046445,144768.0,0.140947867
1962-03-27,1.054966,156000.0,0.122852162
1962-03-28,1.061784,165984.0,0.096420088
1962-03-29,1.060079,146016.0,0.109884265
1962-03-30,1.048149,183456.0,0.095013721
1962-04-02,1.043036,142272.0,0.115074343
1962-04-03,1.031106,212160.0,0.127202418
1962-04-04,1.03281,170976.0,0.153791785
1962-04-05,1.041331,220896.0,0.159614483
1962-04-06,1.034515,175968.0,0.181414736
1962-04-09,1.03281,148512.0,0.190866078
1962-04-10,1.017471,178464.0,0.20334641
1962-04-11,0.998724,157248.0,0.204264764
1962-04-12,0.993611,179712.0,0.210466936
1962-04-13,1.019175,213408.0,0.218782198
1962-04-16,1.010654,189696.0,0.202795229
1962-04-17,1.012358,179712.0,0.227670438
1962-04-18,1.008949,440544.0,0.226406834
1962-04-19,1.010654,127296.0,0.231452167
1962-04-23,1.005542,215904.0,0.263335654
1962-04-24,0.998724,278304.0,0.263872683
